#step z1 z2 R-factor z1_action z2_action R-factor_action
0 4.75 4.5 0.05141906746102885 4.75 4.5 0.05141906746102885
1 4.75 4.5 0.05141906746102885 6.0 4.75 0.06591878368102033
2 5.5 4.25 0.04380131351780189 5.5 4.25 0.04380131351780189
3 5.0 4.25 0.02312528177606794 5.0 4.25 0.02312528177606794
4 5.0 4.25 0.02312528177606794 6.0 5.75 0.05501069117756031
5 5.0 4.25 0.02312528177606794 5.0 4.75 0.037158316568603085
6 5.0 4.25 0.02312528177606794 5.75 4.75 0.06061194437867895
7 5.0 4.25 0.02312528177606794 4.25 3.5 0.062098618649988294
8 5.0 4.25 0.02312528177606794 6.0 6.0 0.04785241875354398
9 5.0 4.25 0.02312528177606794 4.5 4.0 0.05912332368374844
10 5.0 4.25 0.02312528177606794 4.75 4.25 0.04646333628698967
11 5.0 4.25 0.02312528177606794 5.5 4.5 0.0466682914488051
12 5.0 4.25 0.02312528177606794 5.0 4.5 0.033464998538380517
13 5.25 4.25 0.015199251773721183 5.25 4.25 0.015199251773721183
14 5.25 4.25 0.015199251773721183 5.25 4.0 0.0475246576904707
15 5.25 4.25 0.015199251773721183 4.75 3.5 0.06167659449476142
16 5.25 4.25 0.015199251773721183 5.25 4.5 0.02535722409077202
17 5.25 4.25 0.015199251773721183 5.75 5.5 0.06682445658646631
18 5.25 4.25 0.015199251773721183 3.5 3.5 0.08899423194916722
19 5.25 4.25 0.015199251773721183 5.5 4.75 0.03699796186618656
20 5.25 4.25 0.015199251773721183 5.25 4.75 0.025418527084249493
21 5.25 4.25 0.015199251773721183 5.25 5.0 0.04455810799277772
22 5.25 4.25 0.015199251773721183 5.0 4.0 0.02921896131208661
23 5.25 4.25 0.015199251773721183 5.5 5.0 0.042929839892262435
24 5.25 4.25 0.015199251773721183 5.75 3.5 0.08481414715778728
